Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from unintentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from intentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from neuropsychiatric conditions per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Antigua and Barbuda,ATG,2018,102.260345,187.48418,26.913685,11.062985,18.253197,27.635172,0,17.377312,15.1440115
Antigua and Barbuda,ATG,2017,101.7234,192.16563,12.686172,22.197945,11.584992,44.018677,0,21.159262,18.19936
Antigua and Barbuda,ATG,2016,105.921684,176.05775,17.233988,20.882027,14.859723,31.330702,0,21.417624,19.76416
Antigua and Barbuda,ATG,2015,90.01082,181.09926,32.96281,28.886984,13.052129,27.909258,1.0208391,18.126629,18.722929
Argentina,ARG,1966,150.82845,335.62057,22.156656,37.842968,41.00182,38.125496,12.505208,11.25372,19.064009
Argentina,ARG,1967,170.47928,375.84045,27.027735,46.19129,47.201756,46.46493,16.064552,13.786479,21.450586
Argentina,ARG,1968,176.38013,396.51794,38.321712,67.18314,52.942833,49.345364,17.421919,14.49734,25.224936
Argentina,ARG,1969,175.01361,428.27173,44.556942,61.089687,56.64251,50.83892,17.617054,14.820129,28.925419
Argentina,ARG,1970,169.57726,418.71698,44.61287,65.478096,52.45815,51.92116,17.305792,13.201975,28.556429
Argentina,ARG,1977,148.90266,405.9636,28.553493,50.342278,44.68527,42.639538,16.23615,10.249009,24.5701
Argentina,ARG,1978,150.20009,401.04254,24.850822,41.850433,40.766354,41.66469,13.3357935,9.569625,24.559696
Argentina,ARG,1979,151.04591,417.43887,24.029972,33.020935,43.630135,42.952286,10.5641985,10.255338,25.48449
Argentina,ARG,1980,145.42462,399.34442,25.95864,30.925016,42.977135,42.628788,,10.836207,25.622322
Argentina,ARG,1981,155.6042,399.25558,21.721844,30.466578,46.13024,43.86802,,11.28427,24.5257
Argentina,ARG,1983,137.06735,402.15405,24.091988,27.529907,42.706623,38.80212,13.583944,11.388448,28.091427
Argentina,ARG,1982,136.23288,370.11154,19.975908,25.306349,40.91743,37.899124,11.355475,10.516993,23.400917
Argentina,ARG,1984,141.37157,410.7449,23.192253,27.253614,42.51452,38.792458,12.016045,12.02235,29.462233
Argentina,ARG,1985,138.80995,380.31046,18.733679,25.33218,37.86723,32.237648,12.575771,10.752749,27.824825
Argentina,ARG,1986,139.67435,378.52267,17.47873,26.31856,37.654423,36.32264,14.464349,10.451816,27.492842
Argentina,ARG,1987,142.15051,379.20407,21.960001,28.335333,39.708233,34.649925,13.87452,11.582448,32.284565
Argentina,ARG,1988,139.34447,353.71768,21.86681,27.521938,37.485935,34.42078,14.077252,11.710089,31.974087
Argentina,ARG,1989,140.06516,341.54858,20.146233,27.122335,35.838375,34.447556,13.967684,11.432592,26.12279
Argentina,ARG,1990,137.9083,347.03247,21.102074,27.01328,33.884457,31.478104,12.434372,10.746897,27.735466
Argentina,ARG,1991,140.36607,331.42654,19.843771,28.132145,33.320442,31.511066,10.8680725,11.593792,28.01379
Argentina,ARG,1992,138.44943,336.09177,19.046469,28.787815,33.22548,31.226313,11.817692,12.74547,30.206337
Argentina,ARG,1993,136.67656,328.75882,20.843525,28.783092,31.634394,31.43253,11.381475,12.710742,31.319193
Argentina,ARG,1994,138.57764,295.6187,19.639204,26.01655,30.542152,30.113148,11.334843,13.575934,29.757982
Argentina,ARG,1995,135.53418,305.76575,25.991358,27.883804,31.661877,27.595154,10.801543,14.27882,37.730698
Argentina,ARG,1996,139.56091,287.45767,25.990736,28.338552,31.820318,27.289331,11.264042,14.566045,36.571716
Argentina,ARG,1997,136.79112,234.82921,22.088066,34.985603,29.903843,30.09035,11.337771,13.711182,50.012394
Argentina,ARG,1998,136.17097,235.62079,24.407793,34.401466,29.11993,31.908192,11.649791,12.73765,55.91613
Argentina,ARG,1999,134.83795,237.77393,27.362513,33.686012,28.731676,30.92441,12.394288,13.628801,58.38312
Argentina,ARG,2000,132.91214,216.99747,23.615032,33.81794,27.378267,29.725136,13.736813,13.028076,51.794956
Argentina,ARG,2001,130.4307,215.14868,26.697899,34.71133,27.80507,27.76932,15.6695385,12.352052,54.66606
Argentina,ARG,2002,127.83384,212.10309,26.00794,33.416393,27.050034,26.376585,16.172495,13.007657,53.427242
Argentina,ARG,2003,128.98856,207.15826,31.678995,33.26621,27.28251,27.522545,16.025982,14.208676,57.54064
Argentina,ARG,2004,127.10331,194.51419,31.260212,31.638054,25.551489,27.786732,13.963085,13.375023,55.54384
Argentina,ARG,2005,127.74961,188.04074,31.882814,32.4413,26.43847,28.17623,13.059148,12.263347,53.894955
Argentina,ARG,2006,126.57684,182.73055,31.616373,33.079132,27.147572,29.11666,12.89654,12.232554,49.466534
Argentina,ARG,2007,125.32999,187.65993,36.25224,32.0294,28.241552,28.956484,11.763157,13.735695,57.83764
Argentina,ARG,2008,121.976166,174.23799,31.446857,29.508364,27.233006,28.121124,12.052347,13.351111,51.353844
Argentina,ARG,2009,120.80918,169.95134,36.743034,29.223686,25.83162,25.465584,11.4444895,12.640385,49.633167
Argentina,ARG,2010,120.1701,179.86206,36.581726,29.704645,25.92925,25.552938,11.54129,12.607567,53.109097
Argentina,ARG,2011,117.691765,173.71593,36.036823,28.98691,26.28683,26.531519,11.22154,11.929411,52.776474
Argentina,ARG,2012,118.36285,168.57495,35.67647,27.442448,26.758198,26.684097,12.606483,12.26235,49.864162
Argentina,ARG,2013,117.91295,161.67715,40.84098,28.102552,27.099493,27.29812,12.0514965,12.755446,48.36533
Argentina,ARG,2014,116.914795,155.36261,41.425716,27.76978,27.972857,24.62432,12.913922,12.192164,47.944847
Argentina,ARG,2020,102.89489,147.20428,129.05406,22.15513,25.787622,13.940439,9.5027275,10.923698,39.073338
Argentina,ARG,2019,109.623726,150.35957,50.036976,25.251461,26.825102,17.929873,10.755312,12.279416,43.345158
Argentina,ARG,2018,109.964714,150.7534,49.750935,24.801365,27.701561,20.538038,10.948884,11.622803,44.707767
Argentina,ARG,2017,114.656685,155.17032,52.927692,25.60529,27.90526,21.200932,11.031512,11.492339,47.136955
Argentina,ARG,2016,115.73574,165.11478,55.5495,25.76943,30.855703,21.05572,11.431214,13.55904,48.122288
Argentina,ARG,2015,117.679016,159.68933,46.261,25.733751,30.226173,24.242153,12.121839,12.684128,45.83658
Armenia,ARM,1981,99.22305,324.53964,31.386448,14.80686,26.860607,35.78286,5.440993,5.599245,60.168144
Armenia,ARM,1982,100.532845,363.07233,30.199177,14.030171,25.246984,33.149506,4.8151574,5.5878744,51.574986
Armenia,ARM,1985,106.7526,385.95648,35.713436,15.082629,27.141447,34.964912,4.2494974,5.9085984,51.165985
